,price
0,400.0
1,386.2612431944666
2,393.594772118458
3,418.35140891880246
4,393.66681480635697
5,389.64865866935264
6,374.06731722532805
7,365.65005383447874
8,388.2544955091305
9,372.086313447086
10,392.8332334189258
11,401.86571042227183
12,420.50931014782884
13,410.209075161248
14,418.5888527783457
15,404.46805522957567
16,418.42162488427033
17,429.4400502758608
18,429.4400502758608
19,488.6771360422036
20,488.6771360422036
21,535.6797698076413
22,546.4816636273756
23,572.2947716451073
24,578.3543438917709
25,578.3543438917709
26,582.524212100945
27,559.3450948421664
28,592.7994329206223
29,592.7994329206223
30,621.2444156427598
31,621.2444156427598
32,707.1002984321265
33,718.6191240549523
34,738.0491466943698
35,738.0491466943698
36,797.6280567857922
37,862.4645967213742
38,828.536047669631
39,816.6832731749274
40,863.7154739798599
41,863.7154739798599
42,1087.6207763152163
43,1087.6207763152163
44,1179.7665634071352
45,1142.2888018419294
46,1099.2640081988015
47,1235.8873515853668
48,1211.9824418218
49,1242.9377671059585
50,1242.9377671059585
51,1294.371245656502
52,1249.7517341582902
53,1265.8073020704128
54,1265.8073020704128
55,1265.8073020704128
56,1242.45209966557
57,1320.7723647117255
58,1320.7723647117255
59,1334.6122056319086
60,1334.6122056319086
61,1331.6048100257644
62,1456.450399775902
63,1517.699790955346
64,1576.6352136982184
65,1576.6352136982184
66,1539.7779943353507
67,1418.3442405820904
68,1409.8531141044382
69,1389.9649825643216
70,1389.9649825643216
71,1422.009606971544
72,1521.05510486734
73,1682.9742997701903
74,1799.0059827430466
75,1849.026298416271
76,1917.9836540249066
77,2088.489094467192
78,2035.0305828932599
79,1983.604768214332
80,1983.604768214332
81,1983.604768214332
82,1807.1321246434927
83,1761.0776941888266
84,1766.5055903451694
85,1766.5055903451694
86,1766.5055903451694
87,2085.1988908082794
88,1947.484386835251
89,1947.484386835251
90,1826.212982647953
91,1710.7044107209151
92,1752.6996672868586
93,1858.683231064504
94,1777.0926009460618
95,1723.4417338096184
96,1723.4417338096184
97,1556.684956539879
98,1556.684956539879
99,1596.1601330035526
100,1702.9683460667954
101,1592.0342650141968
102,1502.0417485344335
103,1407.8067253226995
104,1383.3562164490472
105,1358.038883020051
106,1266.905641279966
107,1181.5858339873953
108,1181.5858339873953
109,1291.1007899832562
110,1291.1007899832562
111,1383.9140638735305
112,1388.2357469263407
113,1372.29446299477
114,1397.0111200793303
115,1494.113105326489
116,1494.113105326489
117,1316.8156858082612
118,1236.9755455066825
119,1222.525051969719
120,1222.525051969719
121,1285.4432816976832
122,1350.4296636534814
123,1424.1704520092205
124,1507.9012580085064
125,1475.8752261740244
126,1402.9897778014981
127,1470.879690864973
128,1601.8707528586983
129,1601.8707528586983
130,1601.8707528586983
131,1655.3693790232328
132,1606.0899715872833
133,1653.7045103016187
134,1653.7045103016187
135,1623.534334310896
136,1623.534334310896
137,1653.088901245755
138,1653.088901245755
139,1655.2913991340265
140,1750.2785976544476
141,1768.259663323316
142,1716.0334147378505
143,1756.4543594835493
144,1661.1263287531262
145,1647.222658415068
146,1671.8520043626495
147,1600.1070100953266
148,1574.5894568201145
149,1608.321788705274
150,1608.321788705274
151,1654.7223213955872
152,1760.3412682712244
153,1878.131021756784
154,1997.600150897153
155,1884.0012440684823
156,1941.9358776128809
157,2038.8859643724536
158,2070.197333009415
159,1932.5606364630166
160,2047.5257159020327
161,2047.5257159020327
162,2053.45140745042
163,2107.4042824590547
164,2168.560165310579
165,2090.87351155576
166,2020.8694275377563
167,2098.225944794517
168,2128.966346057183
169,2014.7167701825067
170,2014.7167701825067
171,2146.950052043332
172,2085.318137363045
173,2163.253243943205
174,2141.708687753258
175,2206.706047606958
176,2138.134301901729
177,2182.894586646827
178,2168.0050380265443
179,2139.4046915572226
180,2139.4046915572226
181,2139.4046915572226
182,2075.111135840481
183,2308.806537421669
184,2322.13013488047
185,2322.13013488047
186,2486.560386107077
187,2680.0080618410348
188,2556.889525703695
189,2556.889525703695
190,2504.121584993273
191,2410.986386615064
192,2237.796046361281
193,2361.8688824765327
194,2310.808189128933
195,2209.7573829547428
196,2091.9017043749072
197,2248.036878346493
198,2248.036878346493
199,2381.226429158351
200,2517.477834084357
201,2517.477834084357
202,2517.477834084357
203,2238.5381592911003
204,2238.5381592911003
205,2468.844112839169
206,2507.625253907189
207,2286.218501918794
208,2402.5025895147323
209,2275.8999025608277
210,2433.2878242909605
211,2383.003088689953
